date,field_goal,field_goal_attempt,field_goal_pct,point
2021-10-21,6,17,.353,18
2021-10-23,11,24,.458,27
2021-10-26,10,25,.400,26
2021-10-28,11,19,.579,25
2021-10-29,5,18,.278,16
2021-10-31,10,21,.476,23
2021-11-02,10,24,.417,33
2021-11-03,10,25,.400,23
2021-11-06,12,21,.571,33
2021-11-08,10,21,.476,25
2021-11-10,6,18,.333,20
2021-11-12,11,23,.478,32
2021-11-15,9,23,.391,23
2021-11-23,9,21,.429,26
2021-11-27,13,25,.520,33
2021-11-29,9,21,.429,25
2021-12-01,11,16,.688,28
2021-12-03,7,20,.350,21
2021-12-07,9,21,.429,28
2021-12-08,10,19,.526,26
2021-12-10,11,25,.440,27
2022-01-02,6,14,.429,14
2022-01-03,7,18,.389,21
2022-01-05,7,18,.389,26
2022-01-09,8,23,.348,22
2022-01-12,8,23,.348,21
2022-01-14,12,22,.545,27
2022-01-15,7,19,.368,23
2022-01-17,4,17,.235,20
2022-01-19,13,24,.542,41
2022-01-20,9,23,.391,28
2022-01-23,13,25,.520,37
2022-01-25,7,17,.412,25
2022-01-26,4,11,.364,15
2022-01-29,12,21,.571,30
2022-01-30,13,22,.591,34
2022-02-02,16,33,.485,40
2022-02-04,13,28,.464,33
2022-02-06,6,17,.353,18
2022-02-08,9,18,.500,33
2022-02-10,17,26,.654,51
2022-02-12,15,33,.455,45
2022-02-15,5,19,.263,21
2022-02-17,17,35,.486,49
2022-02-25,8,24,.333,23
2022-02-27,10,21,.476,34
2022-03-01,9,21,.429,25
2022-03-03,15,26,.577,41
