date,field_goal,field_goal_attempt,field_goal_pct,point
2021-10-20,13,19,.684,33
2021-10-22,10,13,.769,28
2021-10-23,8,17,.471,17
2021-10-25,8,13,.615,21
2021-10-27,3,4,.750,9
2021-10-29,7,14,.500,16
2021-10-30,8,18,.444,22
2021-11-01,11,15,.733,24
2021-11-03,4,8,.500,10
2021-11-05,7,12,.583,15
2021-11-07,7,13,.538,17
2021-11-10,9,14,.643,20
2021-11-11,2,10,.200,6
2021-11-13,8,11,.727,18
2021-11-15,8,15,.533,21
2021-11-17,4,7,.571,15
2021-11-19,3,6,.500,8
2021-11-20,6,11,.545,20
2021-11-22,8,14,.571,21
2021-11-24,5,9,.556,14
2021-11-26,8,15,.533,23
2021-11-28,1,8,.125,4
2021-11-29,5,12,.417,16
2021-12-01,9,10,.900,22
2021-12-03,5,8,.625,14
2021-12-06,11,15,.733,30
2021-12-08,7,8,.875,21
2021-12-10,9,13,.692,24
2021-12-13,12,17,.706,30
2021-12-15,6,10,.600,16
2021-12-16,5,9,.556,12
2021-12-21,4,11,.364,12
2021-12-26,5,17,.294,14
2021-12-29,3,9,.333,15
2021-12-31,8,14,.571,24
2022-01-02,10,15,.667,32
2022-01-04,5,9,.556,15
2022-01-05,10,13,.769,32
2022-01-08,18,22,.818,42
2022-01-10,3,12,.250,11
2022-01-12,7,11,.636,17
2022-01-14,4,10,.400,14
2022-01-17,7,14,.500,19
2022-01-19,9,12,.750,20
2022-01-28,9,16,.563,24
2022-01-29,8,10,.800,21
2022-02-06,4,8,.500,9
2022-02-09,10,19,.526,22
2022-02-12,7,9,.778,16
2022-02-14,4,11,.364,9
2022-02-16,10,15,.667,22
2022-02-24,15,23,.652,33
2022-02-26,6,14,.429,14
2022-02-28,7,8,.875,14
2022-03-02,6,16,.375,15
2022-03-03,5,8,.625,12
2022-03-05,7,10,.700,15
