date,field_goal,field_goal_attempt,field_goal_pct,point
2021-10-20,6,9,.667,12
2021-10-22,6,12,.500,16
2021-10-24,4,11,.364,10
2021-10-25,6,13,.462,15
2021-10-27,5,7,.714,15
2021-10-29,4,12,.333,10
2021-10-30,8,15,.533,19
2021-11-01,10,18,.556,28
2021-11-03,4,10,.400,9
2021-11-05,3,11,.273,7
2021-11-07,4,10,.400,10
2021-11-10,4,11,.364,10
2021-11-13,2,11,.182,8
2021-11-15,7,14,.500,19
2021-11-17,6,11,.545,16
2021-11-19,5,13,.385,17
2021-11-20,1,4,.250,3
2021-11-22,0,9,.000,0
2021-11-24,7,12,.583,16
2021-11-26,6,14,.429,15
2021-11-27,4,13,.308,12
2021-11-29,11,24,.458,27
2021-12-01,6,9,.667,15
2021-12-03,6,14,.429,17
2021-12-06,7,13,.538,15
2021-12-08,5,10,.500,19
2021-12-11,8,10,.800,20
2021-12-12,8,18,.444,20
2021-12-15,5,14,.357,10
2021-12-17,11,23,.478,27
2021-12-18,4,14,.286,14
2021-12-22,10,24,.417,25
2021-12-23,7,16,.438,20
2021-12-26,4,11,.364,13
2021-12-28,12,20,.600,38
2021-12-30,6,12,.500,20
2022-01-02,5,14,.357,14
2022-01-03,8,13,.615,22
2022-01-05,6,11,.545,15
2022-01-08,4,10,.400,9
2022-01-09,6,13,.462,16
2022-01-12,6,16,.375,14
2022-01-14,8,11,.727,19
2022-01-15,2,6,.333,6
2022-01-17,7,18,.389,14
2022-01-19,3,11,.273,9
2022-01-21,6,9,.667,15
2022-01-23,7,14,.500,18
2022-01-26,9,12,.750,21
2022-01-28,7,12,.583,24
2022-01-30,9,15,.600,18
2022-02-01,9,16,.563,22
2022-02-02,7,13,.538,17
2022-02-05,5,9,.556,15
2022-02-06,4,13,.308,8
2022-02-08,5,14,.357,13
2022-02-11,3,8,.375,9
2022-02-12,5,9,.556,12
2022-02-14,8,16,.500,26
2022-02-16,5,9,.556,12
2022-02-25,4,11,.364,13
2022-02-28,6,10,.600,15
2022-03-02,10,18,.556,28
2022-03-04,5,14,.357,11
2022-03-05,6,9,.667,15
