date,field_goal,field_goal_attempt,field_goal_pct,point
2021-10-19,12,25,.480,32
2021-10-21,4,11,.364,15
2021-10-23,7,15,.467,21
2021-10-25,10,18,.556,30
2021-10-27,15,23,.652,40
2021-10-30,11,18,.611,28
2021-10-31,10,20,.500,25
2021-11-02,9,16,.563,28
2021-11-05,7,17,.412,25
2021-11-07,12,26,.462,29
2021-11-09,12,26,.462,31
2021-11-10,5,15,.333,15
2021-11-14,9,21,.429,26
2021-11-17,18,23,.783,47
2021-11-19,6,16,.375,21
2021-11-20,8,16,.500,32
2021-11-22,4,12,.333,12
2021-11-24,12,17,.706,33
2021-11-26,10,13,.769,24
2021-11-28,10,15,.667,26
2021-12-01,15,24,.625,40
2021-12-06,9,19,.474,27
2021-12-08,4,13,.308,15
2021-12-10,15,20,.750,41
2021-12-12,7,16,.438,20
2021-12-13,7,14,.500,20
2021-12-25,13,23,.565,36
2021-12-28,10,19,.526,28
2021-12-30,13,22,.591,33
2022-01-01,12,18,.667,35
2022-01-03,11,21,.524,31
2022-01-07,11,17,.647,31
2022-01-08,11,20,.550,43
2022-01-10,10,18,.556,26
2022-01-13,11,17,.647,30
2022-01-15,6,17,.353,30
2022-01-17,8,20,.400,27
2022-01-19,12,25,.480,33
2022-01-21,11,23,.478,30
2022-01-26,7,13,.538,26
2022-01-28,12,19,.632,38
2022-01-30,9,19,.474,29
2022-02-01,14,21,.667,33
2022-02-05,7,12,.583,29
2022-02-06,8,15,.533,28
2022-02-08,17,20,.850,44
2022-02-10,5,14,.357,18
2022-02-15,17,21,.810,50
2022-02-17,13,23,.565,32
2022-02-26,8,20,.400,29
2022-02-28,6,10,.600,26
2022-03-02,9,20,.450,28
2022-03-04,12,22,.545,34
