date,field_goal,field_goal_attempt,field_goal_pct,point
2021-10-20,3,19,.158,9
2021-10-22,8,11,.727,18
2021-10-23,6,10,.600,20
2021-10-25,7,18,.389,22
2021-10-27,6,14,.429,16
2021-10-29,10,14,.714,24
2021-10-30,10,15,.667,27
2021-11-02,9,16,.563,23
2021-11-03,5,13,.385,14
2021-11-05,8,15,.533,20
2021-11-08,10,16,.625,22
2021-11-10,9,20,.450,25
2021-11-12,6,14,.429,20
2021-11-13,6,7,.857,15
2021-11-15,6,12,.500,16
2021-11-17,5,9,.556,13
2021-11-19,10,19,.526,26
2021-11-20,8,15,.533,19
2021-11-22,5,12,.417,13
2021-11-24,7,18,.389,21
2021-11-26,5,10,.500,11
2021-11-27,6,11,.545,12
2021-11-29,15,24,.625,39
2021-12-01,1,8,.125,6
2021-12-03,5,7,.714,14
2021-12-05,7,11,.636,17
2021-12-08,12,21,.571,27
2021-12-10,7,12,.583,17
2021-12-12,7,15,.467,17
2021-12-15,8,10,.800,19
2021-12-17,11,15,.733,24
2021-12-21,4,10,.400,10
2021-12-28,4,11,.364,15
2022-01-03,9,18,.500,25
2022-01-04,10,18,.556,25
2022-01-06,2,6,.333,8
2022-01-09,7,12,.583,20
2022-01-11,3,7,.429,13
2022-01-13,7,12,.583,18
2022-01-15,6,12,.500,13
2022-01-17,9,17,.529,22
2022-01-20,8,11,.727,18
2022-01-24,6,11,.545,16
2022-01-31,7,13,.538,16
2022-02-01,4,9,.444,13
2022-02-04,8,13,.615,18
2022-02-06,5,10,.500,18
2022-02-08,5,7,.714,13
2022-02-10,6,8,.750,16
2022-02-12,7,11,.636,17
2022-02-14,6,9,.667,18
2022-02-15,7,11,.636,19
2022-02-17,8,13,.615,16
2022-02-25,7,16,.438,18
2022-02-27,7,10,.700,19
2022-03-02,7,13,.538,17
2022-03-04,2,6,.333,4
