date,field_goal,field_goal_attempt,field_goal_pct,point
2021-10-21,4,13,.308,11
2021-10-23,7,20,.350,18
2021-10-26,2,10,.200,9
2021-11-06,7,13,.538,21
2021-11-08,4,13,.308,12
2021-11-10,9,16,.563,22
2021-11-12,12,22,.545,32
2021-11-15,11,20,.550,29
2021-11-17,7,20,.350,21
2021-11-19,8,13,.615,23
2021-11-21,10,18,.556,25
2021-11-23,9,16,.563,30
2021-11-27,4,12,.333,13
2021-11-29,4,12,.333,9
2021-12-01,9,15,.600,20
2021-12-07,6,17,.353,17
2021-12-08,6,13,.462,19
2021-12-10,9,17,.529,22
2021-12-12,6,17,.353,13
2021-12-13,7,16,.438,24
2021-12-15,8,23,.348,23
2021-12-19,2,9,.222,13
2021-12-25,8,18,.444,27
2021-12-27,12,21,.571,34
2021-12-29,8,19,.421,24
2021-12-31,8,12,.667,24
2022-01-15,4,8,.500,19
2022-01-17,6,11,.545,13
2022-01-19,5,10,.500,18
2022-01-20,7,15,.467,18
2022-01-23,6,11,.545,15
2022-01-25,4,15,.267,9
2022-01-26,8,18,.444,22
2022-01-29,2,5,.400,5
