date,field_goal,field_goal_attempt,field_goal_pct,point
2021-10-20,13,22,.591,27
2021-10-22,14,19,.737,32
2021-10-25,9,15,.600,24
2021-10-26,8,9,.889,24
2021-10-29,5,9,.556,11
2021-10-30,10,23,.435,26
2021-11-01,9,15,.600,23
2021-11-03,11,20,.550,34
2021-11-06,9,15,.600,28
2021-11-08,10,14,.714,25
2021-11-12,10,22,.455,22
2021-11-14,11,17,.647,28
2021-11-15,15,26,.577,35
2021-11-18,10,17,.588,30
2021-11-29,9,14,.643,24
2021-12-01,7,19,.368,18
2021-12-04,14,19,.737,32
2021-12-06,6,17,.353,17
2021-12-08,17,23,.739,39
2021-12-09,8,19,.421,22
2021-12-11,15,24,.625,35
2021-12-13,9,14,.643,28
2021-12-15,11,16,.688,27
2021-12-17,8,12,.667,20
2021-12-22,5,9,.556,13
2021-12-23,13,34,.382,29
2021-12-26,9,24,.375,26
2021-12-28,8,19,.421,22
2022-01-01,8,12,.667,24
2022-01-03,11,18,.611,27
2022-01-05,10,17,.588,26
2022-01-07,13,20,.650,33
2022-01-09,8,21,.381,22
2022-01-11,9,14,.643,21
2022-01-13,8,10,.800,20
2022-01-15,7,12,.583,17
2022-01-16,10,18,.556,25
2022-01-19,16,25,.640,49
2022-01-21,11,16,.688,26
2022-01-23,12,19,.632,34
2022-01-25,9,20,.450,28
2022-01-26,8,13,.615,26
2022-01-28,11,19,.579,29
2022-01-30,7,9,.778,18
2022-02-01,6,12,.500,21
2022-02-04,7,10,.700,25
2022-02-06,12,15,.800,27
2022-02-08,8,14,.571,21
2022-02-11,9,20,.450,23
2022-02-12,10,16,.625,28
2022-02-14,10,26,.385,26
2022-02-16,13,24,.542,35
2022-02-24,9,15,.600,25
2022-02-26,6,16,.375,18
2022-02-27,3,5,.600,8
2022-03-02,10,17,.588,22
