date,field_goal,field_goal_attempt,field_goal_pct,point
2021-10-20,7,21,.333,15
2021-10-22,4,11,.364,10
2021-10-23,6,16,.375,15
2021-10-25,8,15,.533,17
2021-10-28,8,13,.615,22
2021-10-30,4,19,.211,16
2021-11-01,5,11,.455,11
2021-11-03,2,7,.286,4
2021-11-06,5,16,.313,11
2021-11-08,5,14,.357,11
2021-11-10,8,14,.571,18
2021-11-24,6,16,.375,14
2021-11-26,7,13,.538,16
2021-11-27,3,9,.333,7
2021-11-29,12,19,.632,30
2021-12-02,10,18,.556,27
2021-12-04,5,13,.385,11
2021-12-06,8,24,.333,20
2021-12-08,8,23,.348,18
2021-12-11,3,15,.200,10
2021-12-19,8,17,.471,19
2021-12-20,8,18,.444,18
2021-12-26,7,10,.700,16
2021-12-27,9,19,.474,24
2021-12-29,8,14,.571,16
2021-12-31,6,16,.375,14
2022-01-01,9,15,.600,22
2022-01-03,5,13,.385,13
2022-01-07,8,19,.421,16
2022-01-09,6,17,.353,13
2022-01-11,10,18,.556,22
2022-01-12,5,13,.385,14
2022-01-14,9,13,.692,19
2022-01-15,12,20,.600,27
2022-01-17,2,13,.154,7
2022-01-19,11,21,.524,24
2022-01-21,7,17,.412,19
2022-01-23,4,19,.211,13
2022-01-24,10,18,.556,26
2022-01-26,8,11,.727,17
2022-01-28,8,14,.571,18
2022-01-30,11,15,.733,24
2022-02-01,8,17,.471,18
2022-02-03,13,21,.619,30
2022-02-04,16,21,.762,36
2022-02-06,8,18,.444,23
2022-02-07,6,15,.400,13
2022-02-09,9,13,.692,18
2022-02-11,11,14,.786,26
2022-02-12,14,25,.560,31
2022-02-14,12,24,.500,25
2022-02-16,8,18,.444,21
2022-02-24,4,13,.308,12
2022-02-26,5,17,.294,11
2022-02-28,7,14,.500,14
2022-03-03,10,17,.588,21
2022-03-04,8,13,.615,19
